id,description_id,ref_id
1,1,1
2,1,2
3,3,3
4,8,4
5,8,5
6,8,6
7,14,7
8,14,8
9,14,9
10,62,10
11,62,11
12,62,12
13,68,13
14,68,14
15,68,15
16,74,16
17,74,17
18,74,18
19,76,19
20,77,20
21,77,21
22,77,22
23,78,23
24,78,24
25,79,25
26,79,26
27,81,27
28,81,28
29,82,29
30,82,30
31,82,31
32,83,32
33,83,33
34,84,33
35,85,33
36,86,34
37,86,35
38,87,36
39,87,37
40,88,38
41,90,39
42,95,40
43,95,41
44,96,42
45,96,42
46,98,43
47,98,43
48,122,44
49,122,45
50,126,46
51,126,47
52,126,48
53,127,49
54,127,46
55,129,50
56,129,28
57,129,27
58,129,51
59,129,52
60,134,53
61,135,54
62,135,55
63,137,56
64,143,57
65,161,58
66,162,59
67,162,60
68,181,61
69,212,62
70,225,63
71,225,64
72,233,65
73,233,66
74,239,67
75,239,68
76,239,69
77,241,68
78,241,67
79,247,70
80,247,71
81,247,72
82,248,73
83,251,74
84,252,74
85,266,75
86,266,76
87,276,77
88,276,78
89,276,79
90,280,80
91,280,81
92,280,82
93,283,83
94,283,84
95,283,85
96,290,86
97,290,87
98,318,88
99,318,89
100,325,90
101,325,91
102,325,92
103,333,93
104,333,94
105,333,95
106,333,96
107,334,97
108,334,98
109,335,95
110,335,99
111,335,100
112,362,101
113,362,102
114,370,103
115,370,104
116,383,105
117,383,106
118,415,107
119,415,108
120,415,109
121,415,110
122,416,111
123,416,112
124,416,113
125,462,114
126,462,115
127,529,116
128,529,117
129,529,118
130,532,119
131,532,120
132,543,121
133,547,122
134,554,123
135,558,124
136,558,125
137,559,126
138,559,127
139,560,128
140,560,129
141,561,128
142,564,130
143,564,131
144,564,132
145,566,133
146,566,134
147,567,135
148,568,136
149,568,137
150,569,138
151,570,137
152,570,136
153,583,139
154,583,140
155,583,141
